Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,Alaska,Anchorage,1,1,2019,38
North America,US,Alaska,Anchorage,1,2,2019,38.4
North America,US,Alaska,Anchorage,1,3,2019,27.3
North America,US,Alaska,Anchorage,1,4,2019,14.4
North America,US,Alaska,Anchorage,1,5,2019,7.2
North America,US,Alaska,Anchorage,1,6,2019,6.1
North America,US,Alaska,Anchorage,1,7,2019,-0.8
North America,US,Alaska,Anchorage,1,8,2019,7
North America,US,Alaska,Anchorage,1,9,2019,11.1
North America,US,Alaska,Anchorage,1,10,2019,13.2
North America,US,Alaska,Anchorage,1,11,2019,3.5
North America,US,Alaska,Anchorage,1,12,2019,0.8
North America,US,Alaska,Anchorage,1,13,2019,19.3
North America,US,Alaska,Anchorage,1,14,2019,27.3
North America,US,Alaska,Anchorage,1,15,2019,23.2
North America,US,Alaska,Anchorage,1,16,2019,20.3
North America,US,Alaska,Anchorage,1,17,2019,25.4
North America,US,Alaska,Anchorage,1,18,2019,16.9
North America,US,Alaska,Anchorage,1,19,2019,11.8
North America,US,Alaska,Anchorage,1,20,2019,7.7
North America,US,Alaska,Anchorage,1,21,2019,9.3
North America,US,Alaska,Anchorage,1,22,2019,20.8
North America,US,Alaska,Anchorage,1,23,2019,31.2
North America,US,Alaska,Anchorage,1,24,2019,34.2
North America,US,Alaska,Anchorage,1,25,2019,37.6
North America,US,Alaska,Anchorage,1,26,2019,37.1
North America,US,Alaska,Anchorage,1,27,2019,32.4
North America,US,Alaska,Anchorage,1,28,2019,32
North America,US,Alaska,Anchorage,1,29,2019,33.7
North America,US,Alaska,Anchorage,1,30,2019,34.6
North America,US,Alaska,Anchorage,1,31,2019,32.7
North America,US,Alaska,Anchorage,2,1,2019,17.6
North America,US,Alaska,Anchorage,2,2,2019,16.1
North America,US,Alaska,Anchorage,2,3,2019,17.3
North America,US,Alaska,Anchorage,2,4,2019,22.9
North America,US,Alaska,Anchorage,2,5,2019,24.7
North America,US,Alaska,Anchorage,2,6,2019,27.5
North America,US,Alaska,Anchorage,2,7,2019,25.1
North America,US,Alaska,Anchorage,2,8,2019,26.2
North America,US,Alaska,Anchorage,2,9,2019,29.9
North America,US,Alaska,Anchorage,2,10,2019,27.3
North America,US,Alaska,Anchorage,2,11,2019,21.4
North America,US,Alaska,Anchorage,2,12,2019,28.5
North America,US,Alaska,Anchorage,2,13,2019,21.9
North America,US,Alaska,Anchorage,2,14,2019,18.3
North America,US,Alaska,Anchorage,2,15,2019,10.1
North America,US,Alaska,Anchorage,2,16,2019,12.5
North America,US,Alaska,Anchorage,2,17,2019,23.3
North America,US,Alaska,Anchorage,2,18,2019,35.1
North America,US,Alaska,Anchorage,2,19,2019,29.7
North America,US,Alaska,Anchorage,2,20,2019,19.9
North America,US,Alaska,Anchorage,2,21,2019,22.4
North America,US,Alaska,Anchorage,2,22,2019,21.4
North America,US,Alaska,Anchorage,2,23,2019,16.3
North America,US,Alaska,Anchorage,2,24,2019,15.5
North America,US,Alaska,Anchorage,2,25,2019,15.3
North America,US,Alaska,Anchorage,2,26,2019,15.1
North America,US,Alaska,Anchorage,2,27,2019,18.4
North America,US,Alaska,Anchorage,2,28,2019,17
North America,US,Alaska,Anchorage,3,1,2019,18.6
North America,US,Alaska,Anchorage,3,2,2019,20.2
North America,US,Alaska,Anchorage,3,3,2019,29
North America,US,Alaska,Anchorage,3,4,2019,27.8
North America,US,Alaska,Anchorage,3,5,2019,25
North America,US,Alaska,Anchorage,3,6,2019,28.3
