Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,Alaska,Anchorage,1,1,2019,0
North America,US,Alaska,Anchorage,1,2,2019,0
North America,US,Alaska,Anchorage,1,3,2019,0
North America,US,Alaska,Anchorage,1,4,2019,0
North America,US,Alaska,Anchorage,1,5,2019,0
North America,US,Alaska,Anchorage,1,6,2019,0
North America,US,Alaska,Anchorage,1,7,2019,0
North America,US,Alaska,Anchorage,1,8,2019,0
North America,US,Alaska,Anchorage,1,9,2019,0
North America,US,Alaska,Anchorage,1,10,2019,0
North America,US,Alaska,Anchorage,1,11,2019,0
North America,US,Alaska,Anchorage,1,12,2019,0
North America,US,Alaska,Anchorage,1,13,2019,0
North America,US,Alaska,Anchorage,1,14,2019,0
North America,US,Alaska,Anchorage,1,15,2019,0
North America,US,Alaska,Anchorage,1,16,2019,0
North America,US,Alaska,Anchorage,1,17,2019,0
North America,US,Alaska,Anchorage,1,18,2019,0
North America,US,Alaska,Anchorage,1,19,2019,0
North America,US,Alaska,Anchorage,1,20,2019,0
North America,US,Alaska,Anchorage,1,21,2019,0
North America,US,Alaska,Anchorage,1,22,2019,0
North America,US,Alaska,Anchorage,1,23,2019,0
North America,US,Alaska,Anchorage,1,24,2019,0
North America,US,Alaska,Anchorage,1,25,2019,0
North America,US,Alaska,Anchorage,1,26,2019,0
North America,US,Alaska,Anchorage,1,27,2019,0
North America,US,Alaska,Anchorage,1,28,2019,0
North America,US,Alaska,Anchorage,1,29,2019,0
North America,US,Alaska,Anchorage,1,30,2019,0
North America,US,Alaska,Anchorage,1,31,2019,0
North America,US,Alaska,Anchorage,2,1,2019,0
North America,US,Alaska,Anchorage,2,2,2019,0
North America,US,Alaska,Anchorage,2,3,2019,0
North America,US,Alaska,Anchorage,2,4,2019,0
North America,US,Alaska,Anchorage,2,5,2019,0
North America,US,Alaska,Anchorage,2,6,2019,0
North America,US,Alaska,Anchorage,2,7,2019,0
North America,US,Alaska,Anchorage,2,8,2019,0
North America,US,Alaska,Anchorage,2,9,2019,0
North America,US,Alaska,Anchorage,2,10,2019,0
North America,US,Alaska,Anchorage,2,11,2019,0
North America,US,Alaska,Anchorage,2,12,2019,0
North America,US,Alaska,Anchorage,2,13,2019,0
North America,US,Alaska,Anchorage,2,14,2019,0
North America,US,Alaska,Anchorage,2,15,2019,0
North America,US,Alaska,Anchorage,2,16,2019,0
North America,US,Alaska,Anchorage,2,17,2019,0
North America,US,Alaska,Anchorage,2,18,2019,0
North America,US,Alaska,Anchorage,2,19,2019,0
North America,US,Alaska,Anchorage,2,20,2019,0
North America,US,Alaska,Anchorage,2,21,2019,0
North America,US,Alaska,Anchorage,2,22,2019,0
North America,US,Alaska,Anchorage,2,23,2019,0
North America,US,Alaska,Anchorage,2,24,2019,0
North America,US,Alaska,Anchorage,2,25,2019,0
North America,US,Alaska,Anchorage,2,26,2019,0
North America,US,Alaska,Anchorage,2,27,2019,0
North America,US,Alaska,Anchorage,2,28,2019,0
North America,US,Alaska,Anchorage,3,1,2019,0
North America,US,Alaska,Anchorage,3,2,2019,0
North America,US,Alaska,Anchorage,3,3,2019,0
North America,US,Alaska,Anchorage,3,4,2019,0
North America,US,Alaska,Anchorage,3,5,2019,0
North America,US,Alaska,Anchorage,3,6,2019,0
North America,US,Alaska,Anchorage,3,7,2019,0
North America,US,Alaska,Anchorage,3,8,2019,0
North America,US,Alaska,Anchorage,3,9,2019,0
North America,US,Alaska,Anchorage,3,10,2019,0
North America,US,Alaska,Anchorage,3,11,2019,0
North America,US,Alaska,Anchorage,3,12,2019,0
North America,US,Alaska,Anchorage,3,13,2019,0
North America,US,Alaska,Anchorage,3,14,2019,0
North America,US,Alaska,Anchorage,3,15,2019,0
North America,US,Alaska,Anchorage,3,16,2019,0
North America,US,Alaska,Anchorage,3,17,2019,0
North America,US,Alaska,Anchorage,3,18,2019,0
North America,US,Alaska,Anchorage,3,19,2019,0
North America,US,Alaska,Anchorage,3,20,2019,0
North America,US,Alaska,Anchorage,3,21,2019,0
North America,US,Alaska,Anchorage,3,22,2019,0
North America,US,Alaska,Anchorage,3,23,2019,0
North America,US,Alaska,Anchorage,3,24,2019,0
North America,US,Alaska,Anchorage,3,25,2019,0
North America,US,Alaska,Anchorage,3,26,2019,0
North America,US,Alaska,Anchorage,3,27,2019,0
North America,US,Alaska,Anchorage,3,28,2019,0
North America,US,Alaska,Anchorage,3,29,2019,0
North America,US,Alaska,Anchorage,3,30,2019,0
North America,US,Alaska,Anchorage,3,31,2019,0
North America,US,Alaska,Anchorage,4,1,2019,0
North America,US,Alaska,Anchorage,4,2,2019,0
North America,US,Alaska,Anchorage,4,3,2019,0
North America,US,Alaska,Anchorage,4,4,2019,0
North America,US,Alaska,Anchorage,4,5,2019,0
North America,US,Alaska,Anchorage,4,6,2019,0
North America,US,Alaska,Anchorage,4,7,2019,0
North America,US,Alaska,Anchorage,4,8,2019,0
North America,US,Alaska,Anchorage,4,9,2019,0
North America,US,Alaska,Anchorage,4,10,2019,0
North America,US,Alaska,Anchorage,4,11,2019,0
North America,US,Alaska,Anchorage,4,12,2019,0
North America,US,Alaska,Anchorage,4,13,2019,0
North America,US,Alaska,Anchorage,4,14,2019,0
North America,US,Alaska,Anchorage,4,15,2019,0
North America,US,Alaska,Anchorage,4,16,2019,0
North America,US,Alaska,Anchorage,4,17,2019,0
North America,US,Alaska,Anchorage,4,18,2019,0
North America,US,Alaska,Anchorage,4,19,2019,0
North America,US,Alaska,Anchorage,4,20,2019,0
North America,US,Alaska,Anchorage,4,21,2019,0
North America,US,Alaska,Anchorage,4,22,2019,0
North America,US,Alaska,Anchorage,4,23,2019,0
North America,US,Alaska,Anchorage,4,24,2019,0
North America,US,Alaska,Anchorage,4,25,2019,0
North America,US,Alaska,Anchorage,4,26,2019,0
North America,US,Alaska,Anchorage,4,27,2019,0
North America,US,Alaska,Anchorage,4,28,2019,0
North America,US,Alaska,Anchorage,4,29,2019,0
North America,US,Alaska,Anchorage,4,30,2019,0
North America,US,Alaska,Anchorage,5,1,2019,0
North America,US,Alaska,Anchorage,5,2,2019,0
North America,US,Alaska,Anchorage,5,3,2019,0
North America,US,Alaska,Anchorage,5,4,2019,0
North America,US,Alaska,Anchorage,5,5,2019,0
North America,US,Alaska,Anchorage,5,6,2019,0
North America,US,Alaska,Anchorage,5,7,2019,0
North America,US,Alaska,Anchorage,5,8,2019,0
North America,US,Alaska,Anchorage,5,9,2019,0
North America,US,Alaska,Anchorage,5,10,2019,0
North America,US,Alaska,Anchorage,5,11,2019,0
North America,US,Alaska,Anchorage,5,12,2019,0
North America,US,Alaska,Anchorage,5,13,2019,0
North America,US,Alaska,Anchorage,5,14,2019,0
North America,US,Alaska,Anchorage,5,15,2019,0
North America,US,Alaska,Anchorage,5,16,2019,0
North America,US,Alaska,Anchorage,5,17,2019,0
North America,US,Alaska,Anchorage,5,18,2019,0
North America,US,Alaska,Anchorage,5,19,2019,0
North America,US,Alaska,Anchorage,5,20,2019,0
North America,US,Alaska,Anchorage,5,21,2019,0
North America,US,Alaska,Anchorage,5,22,2019,0
North America,US,Alaska,Anchorage,5,23,2019,0
North America,US,Alaska,Anchorage,5,24,2019,0
North America,US,Alaska,Anchorage,5,25,2019,0
North America,US,Alaska,Anchorage,5,26,2019,0
North America,US,Alaska,Anchorage,5,27,2019,0
North America,US,Alaska,Anchorage,5,28,2019,0
North America,US,Alaska,Anchorage,5,29,2019,0
North America,US,Alaska,Anchorage,5,30,2019,0
North America,US,Alaska,Anchorage,5,31,2019,0
North America,US,Alaska,Anchorage,6,1,2019,0
North America,US,Alaska,Anchorage,6,2,2019,0
North America,US,Alaska,Anchorage,6,3,2019,0
North America,US,Alaska,Anchorage,6,4,2019,0
North America,US,Alaska,Anchorage,6,5,2019,0
North America,US,Alaska,Anchorage,6,6,2019,0
North America,US,Alaska,Anchorage,6,7,2019,0
North America,US,Alaska,Anchorage,6,8,2019,0
North America,US,Alaska,Anchorage,6,9,2019,0
North America,US,Alaska,Anchorage,6,10,2019,0
North America,US,Alaska,Anchorage,6,11,2019,0
North America,US,Alaska,Anchorage,6,12,2019,0
North America,US,Alaska,Anchorage,6,13,2019,0
North America,US,Alaska,Anchorage,6,14,2019,0
North America,US,Alaska,Anchorage,6,15,2019,0
North America,US,Alaska,Anchorage,6,16,2019,0
North America,US,Alaska,Anchorage,6,17,2019,0
North America,US,Alaska,Anchorage,6,18,2019,0
North America,US,Alaska,Anchorage,6,19,2019,0
North America,US,Alaska,Anchorage,6,20,2019,0
North America,US,Alaska,Anchorage,6,21,2019,0
North America,US,Alaska,Anchorage,6,22,2019,0
North America,US,Alaska,Anchorage,6,23,2019,0
North America,US,Alaska,Anchorage,6,24,2019,0
North America,US,Alaska,Anchorage,6,25,2019,0
North America,US,Alaska,Anchorage,6,26,2019,0
North America,US,Alaska,Anchorage,6,27,2019,0
North America,US,Alaska,Anchorage,6,28,2019,0
North America,US,Alaska,Anchorage,6,29,2019,0
North America,US,Alaska,Anchorage,6,30,2019,0
North America,US,Alaska,Anchorage,7,1,2019,0
North America,US,Alaska,Anchorage,7,2,2019,0
North America,US,Alaska,Anchorage,7,3,2019,0
North America,US,Alaska,Anchorage,7,4,2019,0
North America,US,Alaska,Anchorage,7,5,2019,0
North America,US,Alaska,Anchorage,7,6,2019,0
North America,US,Alaska,Anchorage,7,7,2019,0
North America,US,Alaska,Anchorage,7,8,2019,0
North America,US,Alaska,Anchorage,7,9,2019,0
North America,US,Alaska,Anchorage,7,10,2019,0
North America,US,Alaska,Anchorage,7,11,2019,0
North America,US,Alaska,Anchorage,7,12,2019,0
North America,US,Alaska,Anchorage,7,13,2019,0
North America,US,Alaska,Anchorage,7,14,2019,0
North America,US,Alaska,Anchorage,7,15,2019,0
North America,US,Alaska,Anchorage,7,16,2019,0
North America,US,Alaska,Anchorage,7,17,2019,0
North America,US,Alaska,Anchorage,7,18,2019,0
North America,US,Alaska,Anchorage,7,19,2019,0
North America,US,Alaska,Anchorage,7,20,2019,0
