Region,Country,State,City,Month,Day,Year,AvgTemperature,Date,co2,ghg
North America,US,Alaska,Anchorage,1,1,1995,23.2,1995-01-01,4708.31,5843.9
North America,US,Alaska,Anchorage,1,2,1995,27.6,1995-01-02,4708.31,5843.9
North America,US,Alaska,Anchorage,1,3,1995,32,1995-01-03,4708.31,5843.9
North America,US,Alaska,Anchorage,1,4,1995,29.3,1995-01-04,4708.31,5843.9
North America,US,Alaska,Anchorage,1,5,1995,30.1,1995-01-05,4708.31,5843.9
North America,US,Alaska,Anchorage,1,6,1995,26.8,1995-01-06,4708.31,5843.9
North America,US,Alaska,Anchorage,1,7,1995,25.6,1995-01-07,4708.31,5843.9
North America,US,Alaska,Anchorage,1,8,1995,18.1,1995-01-08,4708.31,5843.9
North America,US,Alaska,Anchorage,1,9,1995,5,1995-01-09,4708.31,5843.9
North America,US,Alaska,Anchorage,1,10,1995,5.5,1995-01-10,4708.31,5843.9
North America,US,Alaska,Anchorage,1,11,1995,2.7,1995-01-11,4708.31,5843.9
North America,US,Alaska,Anchorage,1,12,1995,2.5,1995-01-12,4708.31,5843.9
North America,US,Alaska,Anchorage,1,13,1995,-2.6,1995-01-13,4708.31,5843.9
North America,US,Alaska,Anchorage,1,14,1995,-6.7,1995-01-14,4708.31,5843.9
North America,US,Alaska,Anchorage,1,15,1995,-3.7,1995-01-15,4708.31,5843.9
North America,US,Alaska,Anchorage,1,16,1995,11.3,1995-01-16,4708.31,5843.9
North America,US,Alaska,Anchorage,1,17,1995,21.6,1995-01-17,4708.31,5843.9
North America,US,Alaska,Anchorage,1,18,1995,15.5,1995-01-18,4708.31,5843.9
North America,US,Alaska,Anchorage,1,19,1995,14.9,1995-01-19,4708.31,5843.9
North America,US,Alaska,Anchorage,1,20,1995,23.6,1995-01-20,4708.31,5843.9
North America,US,Alaska,Anchorage,1,21,1995,29.3,1995-01-21,4708.31,5843.9
North America,US,Alaska,Anchorage,1,22,1995,29.1,1995-01-22,4708.31,5843.9
North America,US,Alaska,Anchorage,1,23,1995,25.2,1995-01-23,4708.31,5843.9
North America,US,Alaska,Anchorage,1,24,1995,17.5,1995-01-24,4708.31,5843.9
North America,US,Alaska,Anchorage,1,25,1995,2.4,1995-01-25,4708.31,5843.9
North America,US,Alaska,Anchorage,1,26,1995,-4.4,1995-01-26,4708.31,5843.9
North America,US,Alaska,Anchorage,1,27,1995,0.3,1995-01-27,4708.31,5843.9
North America,US,Alaska,Anchorage,1,28,1995,17,1995-01-28,4708.31,5843.9
North America,US,Alaska,Anchorage,1,29,1995,26.7,1995-01-29,4708.31,5843.9
